franchise_name,franchise_email,contact_name,contact_title,franchise_inquiry_url,source_url,parent_company,category,email_confidence,notes
"Mathnasium Canada","canadainfo@mathnasium.com","Franchise Team","Canada Franchise Development","https://mathnasiumfranchise.com/contact/","https://mathnasiumfranchise.com/contact/","Mathnasium","Education","VERIFIED — confirmed via web search","Math tutoring franchise. Growing Ontario presence. Also contact form at mathnasiumfranchise.com."
"H&R Block Canada","Jeff.Wilkie@hrblock.ca","Jeff Wilkie","Director, Franchise Operations","https://www.hrblock.ca/franchise-opportunities","https://www.hrblock.ca/franchise-opportunities","H&R Block Canada","Financial Services","VERIFIED — found on website","Direct contact for franchise ops director. Listed multiple times on official franchise page."
"Boardwalk Fries Burgers Shakes","franchising@boardwalkburgers.ca","Franchise Team","Franchise Development","https://www.boardwalkburgers.ca/contact-us/","https://www.boardwalkburgers.ca/","Boardwalk Fries Burgers Shakes","Fast Food","VERIFIED — confirmed via web search","Canadian burger chain. Phone: (403) 250-1262. US contact: dave@boardwalkfbs.com."
"Maple Bear Global Schools","info@maplebear.ca","Franchise Team","Franchise Inquiries","https://www.maplebear.ca/","https://www.maplebear.ca/contact/","Maple Bear Global Schools Ltd","Education","VERIFIED — confirmed via web search","Global bilingual school franchise. Offices in Vancouver, Winnipeg, Toronto. PR: michelle.tice@maplebear.ca."
"Amore Pasta","pasta@amorepasta.ca","Franchise Team","Franchise Development","https://amorepasta.ca/franchise/","https://amorepasta.ca/contact/","Amore Pasta","Fast Food","VERIFIED — confirmed via web search","Also: contact@amorepasta.ca. Edmonton-born brand. 5 locations. Limited franchise opportunities."
"Fuzz Wax Bar","careers@fuzzwaxbar.com","Diana Rodriguez","Franchise Consultant","https://www.fuzzwaxbar.com/pages/franchising","https://contactout.com/company/fuzz-wax-bar-6771290","Fuzz Wax Bar Inc","Beauty & Salon","CONFIRMED VIA DIRECTORY","Canada's leading waxing brand. Multi-unit deals available. GTA heavily underserved."
"Bricks 4 Kidz Canada","franchise@bricks4kidz.com","Lily Bharat","Ontario Franchise Contact","https://bricks4kidzfranchise.com/","https://www.bricks4kidz.com/about/contact-us/","Bricks 4 Kidz","Children's Services","CONFIRMED VIA SEARCH RESULT","Ontario contact: lily@bricks4kidz.ca (289-400-6624). Global franchise: franchise@bricks4kidz.com."
"Maple Bear Global Schools (PR)","michelle.tice@maplebear.ca","Michelle Tice","VP Global Communications","https://www.maplebear.ca/","https://www.maplebear.ca/contact/","Maple Bear Global Schools Ltd","Education","VERIFIED — from search","Use for press / media inquiries rather than standard franchise outreach."
"MTY Group — General Franchise","mty-franchising@mtygroup.com","Franchise Team","MTY Franchising","https://mtyfranchising.com/","https://mtyfranchising.com/","MTY Group","Multiple","VERIFIED — found on website","Covers all MTY brands: Thai Express, Mucho Burrito, Country Style, Turtle Jack's, DRNK Coffee, Valentine, Sushi Shop, and 75+ more brands."
"MTY Group — VP Non-Traditional","kkassam@mtygroup.com","Kass Kassam","VP Non-Traditional Franchise Development","https://turtlejacks.com/franchising/","https://turtlejacks.com/franchising/","MTY Group","Multiple","VERIFIED — found on website","Use for Turtle Jack's and non-traditional venue franchise inquiries."
"MTY Group — West Director","ageorges@mtygroup.com","Ammar Georges","Senior Director, Franchise Development","https://turtlejacks.com/franchising/","https://turtlejacks.com/franchising/","MTY Group","Multiple","VERIFIED — found on website","Covers: SK, AB, BC. Use for western Canada expansion discussions."
"Recipe Unlimited (Harvey's / ESM / Kelsey's)","franchising@recipeunlimited.com","Franchise Team","Franchise Development","https://www.recipeunlimited.com/en/franchising/","https://www.eastsidemarios.com/en/franchising.html","Recipe Unlimited Corporation","Multiple","VERIFIED — found on website","Phone: 905-760-2244 ext. 2255. Covers all Recipe Unlimited brands."
"ProColor Collision (US/Canada)","info.us@procolor.com","Franchise Team","Franchise Development","https://www.procolor.com/en-us/franchise-opportunities/","https://www.procolor.com/en-us/contact/","Fix Network World","Automotive","VERIFIED — from web search","175+ Canadian locations. Also: communications@procolor.com. HQ: Montreal QC."
"Wild Wing (phone backup)","franchising@wildwingrestaurants.com","Franchise Team","Franchise Development","https://www.wildwingrestaurants.com/franchising/","https://www.wildwingrestaurants.com/contact-us/","Wild Wing Hospitality Inc","Bar & Grill","VERIFIED — found on website","Same email as main entry. Phone: (289) 319-2734. King City ON HQ."
"Boston Pizza","[contact form only]","Franchise Team","Regional Franchise Development","https://www.bostonpizzafranchise.com/","https://www.bostonpizzafranchise.com/","Boston Pizza International","Bar & Grill","FORM ONLY — no email listed","Phone: Western Canada 236-308-3048 / Eastern Canada 437-655-3634 / National 647-203-1034. Use contact form."
"Mary Brown's Chicken","[contact form only]","Franchise Team","Franchise Development","https://marybrowns.com/franchising/franchise-inquiries/","https://marybrowns.com/franchising/","Mary Brown's Inc","Fast Food","FORM ONLY — no email listed","Phone: 1-604-492-4440. Port Moody BC HQ. Use inquiry form at marybrowns.com/franchising."
"Pita Pit Canada","[contact form only — via Foodtastic]","Franchise Team","Foodtastic Franchise","https://foodtastic.ca/become-a-franchise/","https://foodtastic.ca/become-a-franchise/","Foodtastic","Fast Food","FORM ONLY — no email listed","Owned by Foodtastic (Kingston ON). Use become-a-franchise form on foodtastic.ca."
"Osmow's Shawarma","[contact form only]","Franchise Team","Franchise Development","https://osmowsfranchise.com/","https://osmowsfranchise.com/","Osmow's Inc","Fast Food","FORM ONLY — no email listed","Phone: 905-624-5546. HQ: Mississauga ON. Fast-growing Ontario brand. Use form at osmowsfranchise.com."
"Firehouse Subs Canada","[contact form only]","Franchise Team","Franchise Development","https://www.franchising.firehousesubs.com/","https://www.firehousesubs.ca/own-a-franchise","Restaurant Brands International","Fast Food","FORM ONLY — no email listed","Phone: 1-877-887-8330. Use form at franchising.firehousesubs.com."
"Smitty's Canada","[contact form only]","Franchise Team","Franchise Development","https://smittys.ca/franchising/","https://smittys.ca/franchising/","Smitty's Canada Inc","Bar & Grill","FORM ONLY — no email listed","Seeking franchisees in BC, AB, Prairies, Ontario, and Eastern Canada. Use apply form at smittys.ca."
"Kernels Popcorn","[contact form only]","Franchise Team","Franchise Development","https://www.kernelspopcorn.com/pages/canadian-franchising","https://www.kernelspopcorn.com/pages/canadian-franchising","Kernels Popcorn Ltd","Specialty Food","FORM ONLY — no email listed","Phone: 1-888-267-6262. Toronto HQ: 40 Eglinton Ave E #250. Use form on website."
"Columbus Café Canada","[contact form only]","Franchise Team","Franchise Development","https://columbuscafe.ca/en/devenir-franchise/","https://www.columbuscafe.com/en/franchise-2/","Columbus Café & Co (France)","Coffee & Café","FORM ONLY — no email listed","25+ Canadian locations. Expanding in Ontario and Quebec. French parent company."
"Comfort Keepers Canada","[contact form + phone]","Franchise Team","Franchise Development","https://franchise.comfortkeepers.ca/","https://franchise.comfortkeepers.ca/","Comfort Keepers (Sodexo)","Senior Care","FORM ONLY — no email listed","HQ: 245 Fairview Mall Dr Suite 401 Toronto ON. Toll-Free: 1-866-363-0072."
"Snap Fitness Canada","inquiries@snapfitness.com","Franchise Team","Franchise Development","https://www.snapfitness.com/ca/why-franchise-with-snap-fitness","https://www.snapfitness.com/ca/contact","Lift Brands","Fitness & Wellness","GENERAL EMAIL — not franchise-specific","24/7 gym franchise. Multiple Ontario locations. Use franchise inquiry form + general email."
"Molly Maid Canada","[contact form only]","Franchise Team","Franchise Development","https://franchise.mollymaid.ca/explore-opportunities/","https://franchise.mollymaid.ca/","ServiceMaster","Cleaning Services","FORM ONLY — no email listed","Phone: 1-855-248-0355. 'Ask Fi' chat on franchise site. Form is primary contact method."
"Anytime Fitness Canada","mediainquiries@sebrands.com","Media Team","Media / Communications","https://www.anytimefitness.ca/franchise","https://www.anytimefitness.ca/","Self Esteem Brands","Fitness & Wellness","MEDIA EMAIL — not franchise-specific","Large Ontario gym presence. Use franchise inquiry form on site. Media email listed publicly."
"Druxy's Famous Deli","customerservice@druxys.com","Franchise Team","Franchise Inquiries","https://druxys.com/franchising/","https://druxys.com/franchising/","Druxy's Inc","Fast Food","GENERAL EMAIL — confirm franchise team routes","Also: 1-888-4DRUXYS. Toronto-born deli brand. Use franchising form + email."
"Amore Pasta (alt)","contact@amorepasta.ca","Franchise Team","Franchise Development","https://amorepasta.ca/","https://amorepasta.ca/contact/","Amore Pasta","Fast Food","VERIFIED — confirmed via web search","Alternate email to pasta@amorepasta.ca. Use either for franchise inquiry."
