franchise_name,contact_name,contact_email,franchise_inquiry_url,category,website,listing_id,current_tier,outreach_status,notes
"The Cups Canada","Franchise Relations","info@cupscanada.ca","https://www.cupscanada.ca/franchise","Coffee & Café","https://www.cupscanada.ca","sourced-the-cups","basic","ready","Already listed — upgrade outreach"
"Columbus Café Canada","Franchise Director","franchise@columbuscafe.ca","https://columbuscafe.ca/franchise","Coffee & Café","https://columbuscafe.ca","sourced-columbus-cafe-canada","basic","ready","Already listed — upgrade outreach"
"Turtle Jack's Muskoka Grill","Franchise Team","franchise@turtlejacks.com","https://www.turtlejacks.com","Bar & Grill","https://www.turtlejacks.com","sourced-turtle-jack-s","basic","ready","Already listed — upgrade outreach"
"Twice the Deal Pizza","Franchise Relations","info@twicethedealpizza.com","https://www.twicethedealpizza.com/franchise","Pizza","https://www.twicethedealpizza.com","sourced-twice-the-deal-pizza","basic","ready","Already listed — upgrade outreach"
"Rosati's Pizza","Franchise Director","franchise@rosatispizza.com","https://www.rosatispizza.com/franchise","Pizza","https://www.rosatispizza.com","sourced-rosati-s-pizza","basic","ready","Already listed — upgrade outreach"
"Cardio Plein Air","Franchise Team","info@cardiopleinair.com","https://www.cardiopleinair.com/franchise","Fitness & Wellness","https://www.cardiopleinair.com","sourced-cardio-plein-air","basic","ready","Already listed — upgrade outreach"
"PetMobile Canada","Franchise Relations","info@petmobile.ca","https://petmobile.ca/franchise","Pet Services","https://petmobile.ca","sourced-petmobile-marketech-merchandising-inc","basic","ready","Already listed — upgrade outreach"
"Hellamaid","Franchise Director","hello@hellamaid.ca","https://hellamaid.ca/franchise-opportunities","Cleaning Services","https://hellamaid.ca","sourced-hellamaid","basic","ready","Already listed — upgrade outreach"
"Kinetic Auto Service","Franchise Team","info@kineticautoservice.ca","https://www.kineticautoservice.ca/franchise","Automotive","https://www.kineticautoservice.ca","sourced-kinetic-auto-service","basic","ready","Already listed — upgrade outreach"
"Boston Pizza","Franchise Development","franchiseinfo@bostonpizza.com","https://www.bostonpizza.com/en/franchise","Bar & Grill","https://www.bostonpizza.com","","prospect","research-needed","Major Canadian franchise — not yet listed. Verified public franchise inquiry email."
"Pizza Nova","Franchise Relations","franchise@pizzanova.com","https://www.pizzanova.com/franchise","Pizza","https://www.pizzanova.com","","prospect","research-needed","Ontario-born brand. Strong Ontario presence. Great fit for directory."
"Mary Brown's Chicken","Franchise Director","franchise@marybrowns.com","https://www.marybrowns.com/franchise","Fast Food","https://www.marybrowns.com","","prospect","research-needed","Fast-growing Canadian QSR. Heavy Ontario expansion."
"Mr. Lube","Franchise Development","info@mrlube.com","https://www.mrlube.com/franchise","Automotive","https://www.mrlube.com","","prospect","research-needed","Canada-wide auto service franchise. Strong Ontario footprint."
"The UPS Store Canada","Franchise Director","franchise@theupsstore.ca","https://www.theupsstore.ca/franchise","Business Services","https://www.theupsstore.ca","","prospect","research-needed","300+ Canadian locations. Great prospect for premium listing."
"Marble Slab Creamery Canada","Franchise Team","franchise@marbleslab.ca","https://www.marbleslab.ca/franchise","Specialty Food","https://www.marbleslab.ca","","prospect","research-needed","Canadian favourite. Big Ontario presence."
"Greco Pizza","Franchise Relations","franchise@greco.ca","https://www.greco.ca/franchise","Pizza","https://www.greco.ca","","prospect","research-needed","Canadian-only pizza brand. Atlantic-to-Ontario expansion target."
"East Side Mario's","Franchise Director","franchise@recipeunlimited.com","https://www.eastsidemariosfranchise.ca","Bar & Grill","https://www.eastsidemariosfranchise.ca","","prospect","research-needed","Recipe Unlimited brand. Heavy Ontario presence."
"Kelsey's Restaurant","Franchise Team","franchise@recipeunlimited.com","https://www.recipeunlimited.com/franchise","Bar & Grill","https://www.recipeunlimited.com","","prospect","research-needed","Recipe Unlimited brand. Ontario-focused locations."
"Wild Wing","Franchise Relations","info@wildwing.ca","https://www.wildwing.ca/franchise","Bar & Grill","https://www.wildwing.ca","","prospect","research-needed","Ontario-born wing franchise. Perfect fit for Ontario directory."
"Mucho Burrito","Franchise Director","franchise@freshburrito.com","https://www.muchoburrito.com/franchise","Fast Food","https://www.muchoburrito.com","","prospect","research-needed","MTY Group brand. Canadian-focused burrito chain."
"Thai Express","Franchise Team","franchise@thaigroupfood.com","https://www.thaiexpress.ca/franchise","Fast Food","https://www.thaiexpress.ca","","prospect","research-needed","MTY Group brand. 300+ Canadian locations."
"Jugo Juice","Franchise Relations","franchise@jugojuice.com","https://www.jugojuice.com/franchise","Healthy Eating","https://www.jugojuice.com","","prospect","research-needed","Canadian smoothie brand. Centric to food court / mall traffic in Ontario."
"Molly Maid Canada","Franchise Director","franchise@mollymaid.ca","https://www.mollymaid.ca/franchise","Cleaning Services","https://www.mollymaid.ca","","prospect","research-needed","Well-known home cleaning franchise. Substantial Ontario presence."
"ServiceMaster Clean Canada","Franchise Team","franchise@servicemaster.ca","https://www.servicemasterclean.ca/franchise","Cleaning Services","https://www.servicemasterclean.ca","","prospect","research-needed","Canada-wide franchise. Restoration and cleaning services."
"Kumon Canada","Franchise Relations","franchise@kumon.ca","https://www.kumon.com/ca-en/franchise","Education","https://www.kumon.ca","","prospect","research-needed","Global tutoring brand. 400+ Canadian centres."
"Mathnasium Canada","Franchise Director","franchise@mathnasium.ca","https://www.mathnasium.ca/franchise","Education","https://www.mathnasium.ca","","prospect","research-needed","Math tutoring franchise. Growing Ontario presence."
"Sylvan Learning Canada","Franchise Team","franchise@sylvanlearning.ca","https://www.sylvanlearning.ca/franchise","Education","https://www.sylvanlearning.ca","","prospect","research-needed","Tutoring brand. Strong presence in Ontario suburbs."
"BrightPath Kids","Franchise Relations","franchise@brightpathkids.com","https://www.brightpathkids.com/franchise","Children's Services","https://www.brightpathkids.com","","prospect","research-needed","Canadian childcare franchise. Toronto-area heavy."
"Snap Fitness Canada","Franchise Director","franchise@snapfitness.ca","https://www.snapfitness.ca/franchise","Fitness & Wellness","https://www.snapfitness.ca","","prospect","research-needed","24/7 gym franchise. Growing Canada presence."
"Anytime Fitness Canada","Franchise Team","franchise@anytimefitness.ca","https://www.anytimefitness.ca/franchise","Fitness & Wellness","https://www.anytimefitness.ca","","prospect","research-needed","Large global gym brand. Significant Ontario presence."
"Orangetheory Fitness Canada","Franchise Relations","franchise@orangetheory.ca","https://www.orangetheoryfitness.ca/franchise","Fitness & Wellness","https://www.orangetheoryfitness.ca","","prospect","research-needed","Premium boutique fitness. High average unit volume."
"F45 Training Canada","Franchise Director","canada@f45training.com","https://f45training.com/ca/en/franchise","Fitness & Wellness","https://f45training.com","","prospect","research-needed","Group fitness franchise. Heavy Toronto/GTA presence."
"Comfort Keepers Canada","Franchise Team","franchise@comfortkeepers.ca","https://www.comfortkeepers.ca/franchise","Senior Care","https://www.comfortkeepers.ca","","prospect","research-needed","In-home senior care franchise. Aging population = growing demand in Ontario."
"Home Instead Canada","Franchise Relations","franchise@homeinstead.ca","https://www.homeinstead.ca/franchise","Senior Care","https://www.homeinstead.ca","","prospect","research-needed","Senior care franchise. Strong Ontario suburban market."
"Visiting Angels Canada","Franchise Director","franchise@visitingangels.ca","https://www.visitingangels.ca/franchise","Senior Care","https://www.visitingangels.ca","","prospect","research-needed","Senior home care franchise. Growing fast in Ontario."
"Right at Home Canada","Franchise Team","franchise@rightathomecanada.ca","https://www.rightathomecanada.ca/franchise","Senior Care","https://www.rightathomecanada.ca","","prospect","research-needed","Senior care franchise. Canadian brand, Ontario-focused."
"Remax Canada","Franchise Relations","franchise@remax.ca","https://www.remax.ca/franchise","Real Estate","https://www.remax.ca","","prospect","research-needed","Top Canadian real estate franchise. Ontario is their largest market."
"Keller Williams Canada","Franchise Director","canada@kw.com","https://www.kwcanada.com/franchise","Real Estate","https://www.kwcanada.com","","prospect","research-needed","Growing real estate franchise. Strong GTA expansion."
"Sutton Group","Franchise Team","info@suttongroup.com","https://www.suttongroup.com/franchise","Real Estate","https://www.suttongroup.com","","prospect","research-needed","Canadian real estate brokerage franchise."
"Liberty Tax Canada","Franchise Relations","franchise@libertytax.ca","https://www.libertytax.ca/franchise","Financial Services","https://www.libertytax.ca","","prospect","research-needed","Tax preparation franchise. Very seasonal but well-known in Ontario."
"H&R Block Canada","Franchise Director","franchise@hrblock.ca","https://www.hrblock.ca/franchise","Financial Services","https://www.hrblock.ca","","prospect","research-needed","Tax preparation giant. 1000+ Canadian locations."
"The Mortgage Centre Canada","Franchise Team","info@mortgagecentre.com","https://www.mortgagecentre.com/franchise","Financial Services","https://www.mortgagecentre.com","","prospect","research-needed","Canadian mortgage brokerage franchise."
"Minuteman Press Canada","Franchise Relations","franchise@minutemanpress.ca","https://www.minutemanpress.ca/franchise","Printing & Signs","https://www.minutemanpress.ca","","prospect","research-needed","Print & marketing franchise. Strong Ontario business community presence."
"Signarama Canada","Franchise Director","franchise@signarama.ca","https://www.signarama.ca/franchise","Printing & Signs","https://www.signarama.ca","","prospect","research-needed","Signage franchise. Good fit for Ontario business services category."
"The Growler House","Franchise Team","info@thegrowlerhouse.com","https://www.thegrowlerhouse.com/franchise","Bar & Grill","https://www.thegrowlerhouse.com","","prospect","research-needed","Ontario craft beer bar franchise. Ontario-only brand."
"Hero Certified Burgers","Franchise Relations","franchise@herocertifiedburgers.com","https://www.herocertifiedburgers.com/franchise","Fast Food","https://www.herocertifiedburgers.com","","prospect","research-needed","Ontario-born burger chain. Ideal for Ontario-focused directory."
"Osmow's Shawarma","Franchise Director","franchise@osmows.com","https://www.osmows.com/franchise","Fast Food","https://www.osmows.com","","prospect","research-needed","Ontario-born shawarma brand. Huge Ontario growth story."
"Gino's Pizza","Franchise Team","info@ginospizza.ca","https://www.ginospizza.ca/franchise","Pizza","https://www.ginospizza.ca","","prospect","research-needed","Ontario-focused pizza franchise. Independent Canadian brand."
"The Poutinerie","Franchise Relations","franchise@poutinerie.com","https://poutinerie.com/franchise","Specialty Food","https://poutinerie.com","","prospect","research-needed","Canadian food concept. Strong Ontario identity."
"Menchie's Frozen Yogurt Canada","Franchise Director","franchise@menchies.ca","https://www.menchies.ca/franchise","Bakery & Desserts","https://www.menchies.ca","","prospect","research-needed","Frozen yogurt franchise. Ontario mall locations."
"Kernels Popcorn","Franchise Team","franchise@kernels.com","https://www.kernels.com/franchise","Specialty Food","https://www.kernels.com","","prospect","research-needed","Canadian popcorn brand. Ontario mall-focused."
"Booster Juice Canada","Franchise Relations","franchise@boosterjuice.com","https://www.boosterjuice.com/franchise","Healthy Eating","https://www.boosterjuice.com","","prospect","research-needed","Canadian smoothie/juice franchise. 400+ Canadian locations."
"Edo Japan Canada","Franchise Director","franchise@edojapan.com","https://www.edojapan.com/franchise","Fast Food","https://www.edojapan.com","","prospect","research-needed","Food court Japanese brand. Ontario expansion target."
"Panago Pizza","Franchise Team","franchise@panago.com","https://www.panago.com/franchise","Pizza","https://www.panago.com","","prospect","research-needed","Canadian pizza brand. Western Canada roots, expanding into Ontario."
"Nature's Emporium","Franchise Relations","info@naturesemporium.com","https://www.naturesemporium.com","Healthy Eating","https://www.naturesemporium.com","","prospect","research-needed","Ontario-born health food retail brand."
"Druxy's","Franchise Director","franchise@druxys.com","https://www.druxys.com/franchise","Fast Food","https://www.druxys.com","","prospect","research-needed","Toronto-born deli sandwich brand. Airport/office tower locations."
"Country Style","Franchise Team","franchise@countrystyle.com","https://www.countrystyle.com/franchise","Coffee & Café","https://www.countrystyle.com","","prospect","research-needed","Canadian coffee franchise. Ontario-heavy locations."
"Bento Sushi","Franchise Relations","franchise@bentoinc.ca","https://www.bentoinc.ca/franchise","Fast Food","https://www.bentoinc.ca","sourced-bento-inc","basic","ready","Already listed — upgrade outreach"
